"name","place","type","url","cabins","capacity","closed","covered","hbot","heated","hmid","horz","htop","incline","incmax","length","pillars","speed","time","trkwidth","vert"
"Wizard Express","Whistler","4-CLD/B","https://lift-world.info/en/lifts/3501/datas.htm",,"2650 Pers/h",,,"685 m",,,"?? m","1248 m","?? %","?? %","2232 m","24 Stk","5,08 m/s","?? min",,"565 m"
"Whistler Village Express 2","Whistler","10-MGD","https://lift-world.info/en/lifts/20006/datas.htm",,"2640 Pers/h",,,"1019 m",,,"?? m","1832 m","?? %","?? %","?? m","42 Stk","5 m/s","25 min",,"813 m"
"Whistler Village Express 1","Whistler","10-MGD","https://lift-world.info/en/lifts/3503/datas.htm",,"2640 Pers/h",,,"675 m",,,"?? m","1019 m","?? %","?? %","1677 m","21 Stk","5 m/s","25 min",,"344 m"
"Village Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13213/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Upper Blackcomb Gondola","Whistler","10-MGD","https://lift-world.info/en/lifts/19847/datas.htm",,"4000 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","2102 m","?? Stk","6,0 m/s","?? min",,"597 m"
"Timing Flats Express","Whistler","4-CLD","https://lift-world.info/en/lifts/14555/datas.htm",,"2400 Pers/h",,,"604 m",,,"?? m","735 m","?? %","?? %","556 m","8 Stk","5,0 m/s","2,2 min",,"131 m"
"T-Bar 2","Whistler","2-SL","https://lift-world.info/en/lifts/3509/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","5 Stk","?? m/s","?? min",,"188 m"
"T-Bar 1","Whistler","2-SL","https://lift-world.info/en/lifts/3508/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"188 m"
"Symphony Express","Whistler","4-CLD","https://lift-world.info/en/lifts/10757/datas.htm",,"?? Pers/h",,,"1525 m",,,"?? m","2034 m","?? %","?? %","2112 m","24 Stk","?? m/s","?? min",,"509 m"
"Stoker Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13212/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Solar Coaster Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3495/datas.htm",,"2800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1920 m","?? Stk","5,08 m/s","?? min",,"623 m"
"Skidder Chair","Whistler","2-CLF","https://lift-world.info/en/lifts/13211/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Ski Jump Access Lift","Whistler","2-CLF","https://lift-world.info/en/lifts/13025/datas.htm",,"412 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","395 m","?? Stk","1,5 m/s","?? min",,"145 m"
"Showcase","Whistler","2-SL","https://lift-world.info/en/lifts/3490/datas.htm",,"1411 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","522 m","5 Stk","3,65 m/s","?? min",,"148 m"
"Redline Express","Whistler","4-CLD","https://lift-world.info/en/lifts/13210/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","32 Stk","?? m/s","?? min",,"?? m"
"Red Chair","Whistler","2-CLF","https://lift-world.info/en/lifts/13209/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Quicksilver Express","Whistler","4-CLD/B","https://lift-world.info/en/lifts/13208/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Peak2Peak Gondola","Whistler","28-BGD","https://lift-world.info/en/lifts/13214/datas.htm",,"2050 Pers/h",,,"1870 m",,,"4400 m","1834 m","?? %","?? %","4516 m","4 Stk","7,5 m/s","11 min",,"36 m"
"Peak Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3510/datas.htm",,"2800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1015 m","12 Stk","5,1 m/s","3 min",,"401 m"
"Peak Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13207/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","12 Stk","?? m/s","?? min",,"?? m"
"Orange","Whistler","2-CLF","https://lift-world.info/en/lifts/3506/datas.htm",,"2100 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","1238 m","?? Stk","2,159 m/s","?? min",,"386 m"
"Olympic","Whistler","3-CLF","https://lift-world.info/en/lifts/3514/datas.htm",,"1800 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","729 m","?? Stk","2,4 m/s","?? min",,"123 m"
"Olive Chair","Whistler","2-CLF","https://lift-world.info/en/lifts/13206/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Magic","Whistler","3-CLF","https://lift-world.info/en/lifts/3515/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","620 m","10 Stk","?? m/s","?? min",,"94 m"
"Lower Blackcomb Gondola","Whistler","10-MGD","https://lift-world.info/en/lifts/19846/datas.htm",,"4000 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1957 m","?? Stk","6,0 m/s","?? min",,"487 m"
"Little Red Chair","Whistler","2-CLF","https://lift-world.info/en/lifts/13205/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Kadenwood Gondola","Whistler","8-MGFP","https://lift-world.info/en/lifts/15228/datas.htm",,"306 Pers/h",,,"635 m",,"?? m","?? m","861 m","?? %","?? %","906 m","?? Stk","5,0 m/s","8 min",,"226 m"
"Jersey Cream Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3497/datas.htm",,"2864 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1416 m","18 Stk","5,08 m/s","?? min",,"375 m"
"Jersey Cream Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13204/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Horstman","Whistler","2-SL","https://lift-world.info/en/lifts/3493/datas.htm",,"1200 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","751 m","?? Stk","3 m/s","?? min",,"206 m"
"Harmony Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3513/datas.htm",,"2400 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1755 m","19 Stk","5,08 m/s","?? min",,"524 m"
"Harmony 6 Express","Whistler","6-CLD","https://lift-world.info/en/lifts/17107/datas.htm",,"3600 Pers/h",,,"1572 m",,,"?? m","2107 m","?? %","?? %","1729 m","19 Stk","5,08 m/s","6,0 min",,"535 m"
"Greenline Express","Whistler","4-CLD","https://lift-world.info/en/lifts/13203/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Gondola","Whistler","4-MGD","https://lift-world.info/en/lifts/13202/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Glacier Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3491/datas.htm",,"2500 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1882 m","?? Stk","5,08 m/s","?? min",,"599 m"
"Garbanzo Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3505/datas.htm",,"2800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","2168 m","?? Stk","5,1 m/s","?? min",,"663 m"
"FranzÂ´s","Whistler","3-CLF","https://lift-world.info/en/lifts/3507/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"272 m"
"Fitzsimmons Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3504/datas.htm",,"2650 Pers/h",,,"675 m",,,"?? m","1019 m","?? %","?? %","1772 m","19 Stk","5,1 m/s","?? min",,"344 m"
"Fitzsimmons Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13201/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Excelerator Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3496/datas.htm",,"2650 Pers/h",,,"1134 m",,,"?? m","1650 m","31,7 %","?? %","1703 m","21 Stk","5,08 m/s","536 min",,"514 m"
"Excalibur Gondola 2","Whistler","8-MGD","https://lift-world.info/en/lifts/3500/datas.htm",,"2600 Pers/h",,,"770 m",,,"?? m","1136 m","24,1 %","?? %","1480 m","?? Stk","5,08 m/s","5,1 min",,"366 m"
"Excalibur Gondola 1","Whistler","8-MGD","https://lift-world.info/en/lifts/3499/datas.htm",,"2600 Pers/h",,,"696,7 m",,,"?? m","770 m","12,1 %","?? %","723,7 m","?? Stk","5,08 m/s","2,4 min",,"86,7 m"
"Emerald Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3511/datas.htm",,"2800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1810 m","?? Stk","5,1 m/s","?? min",,"425 m"
"Emerald 6 Express","Whistler","6-CLD","https://lift-world.info/en/lifts/19307/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Crystal Ridge Express","Whistler","4-CLD","https://lift-world.info/en/lifts/17106/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Crystal","Whistler","3-CLF","https://lift-world.info/en/lifts/3492/datas.htm",,"1800 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1062 m","?? Stk","2,54 m/s","?? min",,"367 m"
"Cruiser Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13200/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Creekside Gondola","Whistler","6-MGD","https://lift-world.info/en/lifts/3502/datas.htm",,"2370 Pers/h",,,"653 m",,"?? m","?? m","1300 m","?? %","?? %","2050 m","24 Stk","5,2 m/s","13 min",,"644 m"
"Catskinner Express","Whistler","4-CLD","https://lift-world.info/en/lifts/19390/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Catskinner","Whistler","3-CLF","https://lift-world.info/en/lifts/3498/datas.htm",,"?? Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","1375 m","18 Stk","2,4 m/s","?? min",,"?? m"
"Blue Chair","Whistler","2-CLF","https://lift-world.info/en/lifts/13199/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Black Chair","Whistler","3-CLF","https://lift-world.info/en/lifts/13198/datas.htm",,"?? Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","?? m","?? Stk","?? m/s","?? min",,"?? m"
"Big Red Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3512/datas.htm",,"2800 Pers/h",,,"?? m",,"?? m","?? m","?? m","?? %","?? %","2478 m","?? Stk","5,1 m/s","?? min",,"555 m"
"7th Heaven Express","Whistler","4-CLD","https://lift-world.info/en/lifts/3494/datas.htm",,"2400 Pers/h",,,"1696 m",,,"?? m","2284 m","?? %","?? %","1752 m","24 Stk","5,08 m/s","8 min",,"588 m"
"Whistler","Windham","3-CLF","https://lift-world.info/en/lifts/19857/datas.htm",,"1500 Pers/h",,,"?? m",,,"?? m","?? m","?? %","?? %","?? m","?? Stk","2,0 m/s","?? min",,"?? m"
